# t (s)	mx ()	my ()	mz ()	E_total (J)
1.500003073669567e-08	-3.3765266e-06	0.050300684	3.8537112e-07	-1.2493426e-16
1.5250114580277246e-08	-7.7207676e-07	0.05030071	2.401092e-06	-1.2493429e-16
1.5500086852272813e-08	2.1332282e-06	0.050300688	1.6860529e-06	-1.2493429e-16
1.575004318434557e-08	1.0024452e-06	0.050300688	8.799813e-08	-1.2493426e-16
1.6000142548803985e-08	-2.3652667e-06	0.0503007	7.2869386e-07	-1.2493429e-16
1.6250082328778925e-08	-2.9560483e-06	0.05030071	3.3408946e-06	-1.2493429e-16
1.6500023112647685e-08	2.6420594e-07	0.050300714	4.661625e-06	-1.2493428e-16
1.675001403103857e-08	2.575159e-06	0.050300702	3.2453104e-06	-1.2493429e-16
1.7000097427134652e-08	6.581123e-07	0.050300706	1.6343594e-06	-1.2493425e-16
1.725003929003187e-08	-2.4527283e-06	0.050300714	2.5417587e-06	-1.2493426e-16
1.750000901922105e-08	-2.048251e-06	0.050300725	4.8084694e-06	-1.2493429e-16
1.77500310511438e-08	1.4814959e-06	0.050300717	5.139871e-06	-1.249343e-16
1.800008042992328e-08	2.9951525e-06	0.050300717	2.9767643e-06	-1.2493424e-16
1.8250080444554645e-08	3.8594462e-07	0.050300725	1.3640794e-06	-1.2493429e-16
1.850004352983191e-08	-2.2886422e-06	0.050300725	2.3893876e-06	-1.249343e-16
1.8750030787896232e-08	-9.774626e-07	0.05030072	4.1106614e-06	-1.2493428e-16
1.900004979400541e-08	2.539567e-06	0.050300725	3.4440648e-06	-1.2493425e-16
1.9250068330311683e-08	3.0974668e-06	0.050300717	7.570874e-07	-1.2493424e-16
1.950000918381605e-08	-4.851979e-08	0.050300725	-6.3950364e-07	-1.2493428e-16
1.9750123743259438e-08	-2.1285334e-06	0.050300717	5.680865e-07	-1.249343e-16
2.0000006911023152e-08	-5.641169e-08	0.050300717	1.7945333e-06	-1.2493434e-16
2.0250141080420896e-08	3.1561153e-06	0.050300714	3.8710508e-07	-1.2493425e-16
2.0500082343677823e-08	2.6685682e-06	0.050300714	-2.378171e-06	-1.249343e-16
2.075012518907007e-08	-7.943058e-07	0.05030071	-3.1951884e-06	-1.249343e-16
2.1000035145159e-08	-2.1440019e-06	0.0503007	-1.6108427e-06	-1.2493432e-16
2.12500200261087e-08	5.3453664e-07	0.05030071	-6.8848783e-07	-1.2493424e-16
2.1500150743454333e-08	3.2147682e-06	0.050300725	-2.448559e-06	-1.2493426e-16
2.1750067439744044e-08	1.6997113e-06	0.050300706	-4.807169e-06	-1.2493432e-16
2.2000110266860186e-08	-1.7716326e-06	0.050300702	-4.6954374e-06	-1.249343e-16
2.225001062669175e-08	-2.2743393e-06	0.050300717	-2.6068362e-06	-1.249343e-16
2.2500004317368387e-08	8.661773e-07	0.050300717	-1.8529458e-06	-1.2493428e-16
2.2750154156163376e-08	2.7990488e-06	0.05030071	-3.6327947e-06	-1.2493433e-16
2.3000041042068272e-08	4.4627348e-07	0.05030071	-5.231554e-06	-1.2493429e-16
2.325004906214904e-08	-2.7260317e-06	0.0503007	-4.0838936e-06	-1.2493428e-16
2.350005545226875e-08	-2.2636e-06	0.050300706	-1.5892224e-06	-1.2493426e-16
2.3750118322068332e-08	1.1159073e-06	0.05030071	-1.0244413e-06	-1.2493424e-16
2.4000038161704832e-08	2.1989879e-06	0.050300688	-2.6921794e-06	-1.249343e-16
2.425007313093722e-08	-7.23835e-07	0.050300695	-3.473542e-06	-1.2493422e-16
2.4500005165215576e-08	-3.3348501e-06	0.05030069	-1.4892491e-06	-1.2493417e-16
2.475007217981275e-08	-1.8959973e-06	0.0503007	1.0797652e-06	-1.2493424e-16
2.5000090186699926e-08	1.5071753e-06	0.050300684	1.2331659e-06	-1.2493422e-16
2.5250149352407855e-08	1.7111317e-06	0.050300673	-4.164739e-07	-1.2493418e-16
2.5500088848203446e-08	-1.5203069e-06	0.050300688	-5.67653e-07	-1.2493416e-16
2.5750026243940354e-08	-3.3641745e-06	0.050300695	1.8323551e-06	-1.2493416e-16
2.600002280426698e-08	-1.0314302e-06	0.050300684	3.998171e-06	-1.2493418e-16
2.6250045936946462e-08	2.1207109e-06	0.05030068	3.4364787e-06	-1.2493418e-16
2.650012151273436e-08	1.4468392e-06	0.050300695	1.6314333e-06	-1.2493417e-16
2.675010139629745e-08	-1.8875462e-06	0.05030069	1.8408082e-06	-1.2493412e-16
2.7000106389537887e-08	-2.814869e-06	0.050300702	4.197034e-06	-1.2493416e-16
2.7250063947246014e-08	1.9710501e-07	0.05030068	5.536838e-06	-1.2493413e-16
2.7500032886366446e-08	2.8373825e-06	0.050300684	4.06482e-06	-1.2493414e-16
2.7750151184673126e-08	1.2969781e-06	0.050300695	2.0492078e-06	-1.2493409e-16
2.800003685022088e-08	-1.9439356e-06	0.05030069	2.4318695e-06	-1.2493412e-16
2.825002905838739e-08	-1.9425581e-06	0.050300702	4.4494327e-06	-1.2493414e-16
2.8500051804631375e-08	1.4760321e-06	0.050300688	4.783327e-06	-1.2493414e-16
2.8750129558298087e-08	3.3457163e-06	0.05030069	2.4805286e-06	-1.249341e-16
2.9000043981881815e-08	9.936813e-07	0.050300702	4.2633576e-07	-1.2493414e-16
2.9250005923950248e-08	-1.9313586e-06	0.050300706	1.0079688e-06	-1.2493417e-16
2.950012452668498e-08	-1.0547744e-06	0.0503007	2.6392936e-06	-1.2493414e-16
2.9750020312737446e-08	2.444856e-06	0.050300684	2.0861626e-06	-1.2493412e-16
3.0000097421128885e-08	3.3712874e-06	0.050300695	-6.7109414e-07	-1.249341e-16
3.025015279027228e-08	3.426104e-07	0.05030069	-2.39589e-06	-1.2493417e-16
3.050012430998343e-08	-2.0784714e-06	0.050300706	-1.3929606e-06	-1.2493417e-16
3.0750034378225984e-08	-4.1986604e-07	0.050300695	-7.2609296e-09	-1.2493416e-16
3.1000059289519165e-08	2.88596e-06	0.050300706	-1.111464e-06	-1.2493414e-16
3.125013074248432e-08	2.7711271e-06	0.050300702	-3.8176777e-06	-1.2493418e-16
3.1500120758626923e-08	-6.7515646e-07	0.050300706	-4.767667e-06	-1.2493421e-16
3.175012493974354e-08	-2.4149322e-06	0.050300714	-3.1235543e-06	-1.2493421e-16
3.200006592552286e-08	-5.2060827e-08	0.050300706	-1.8014691e-06	-1.2493417e-16
3.225000634333186e-08	2.8314594e-06	0.05030071	-3.1212244e-06	-1.249342e-16
3.2500049395174896e-08	1.6942421e-06	0.05030071	-5.3284384e-06	-1.2493421e-16
3.2750062360841547e-08	-1.8516552e-06	0.05030071	-5.216165e-06	-1.2493426e-16
3.3000034929132524e-08	-2.7412511e-06	0.05030071	-2.8985196e-06	-1.2493418e-16
3.325004577021414e-08	2.0760503e-07	0.050300725	-1.6227093e-06	-1.2493418e-16
3.3500074240477404e-08	2.4718809e-06	0.050300706	-2.9602918e-06	-1.2493422e-16
3.3750142107384925e-08	4.950748e-07	0.050300695	-4.4636295e-06	-1.249342e-16
3.400000053698777e-08	-2.8382021e-06	0.050300695	-3.32388e-06	-1.2493418e-16
3.425007490758074e-08	-2.756299e-06	0.05030071	-5.632097e-07	-1.2493418e-16
3.450010731271427e-08	6.218132e-07	0.0503007	4.66596e-07	-1.249342e-16
3.475001535841403e-08	2.135358e-06	0.050300684	-9.517236e-07	-1.2493418e-16
3.5000134991129145e-08	-4.982415e-07	0.0503007	-1.8356063e-06	-1.2493417e-16
3.5250152651677566e-08	-3.3311915e-06	0.050300695	2.4058602e-08	-1.2493417e-16
3.550010224543271e-08	-2.2324932e-06	0.050300706	2.7556853e-06	-1.2493417e-16
3.57501302286584e-08	1.316006e-06	0.05030069	3.169775e-06	-1.2493418e-16
3.6000162318054456e-08	1.998131e-06	0.050300684	1.4793873e-06	-1.2493412e-16
3.625011730437812e-08	-1.0818003e-06	0.050300688	9.828264e-07	-1.2493409e-16
3.650008562629478e-08	-3.19803e-06	0.050300702	3.1049685e-06	-1.2493412e-16
3.675010395619928e-08	-1.1555056e-06	0.0503007	5.2835726e-06	-1.2493412e-16
3.7000049613117976e-08	2.2237284e-06	0.050300684	4.7569924e-06	-1.2493408e-16
3.725003010831793e-08	2.0004475e-06	0.05030069	2.666712e-06	-1.2493408e-16
3.750001733296372e-08	-1.3092717e-06	0.0503007	2.351891e-06	-1.2493409e-16
3.775014880199057e-08	-2.5935337e-06	0.050300702	4.353415e-06	-1.2493412e-16
3.8000015684703197e-08	1.9104728e-07	0.050300688	5.6339395e-06	-1.249341e-16
3.8250128975918205e-08	3.1078007e-06	0.05030069	4.0782584e-06	-1.2493402e-16
3.850013168295703e-08	1.9249878e-06	0.05030069	1.6600435e-06	-1.2493405e-16
3.8750055297526795e-08	-1.4140512e-06	0.050300695	1.5109235e-06	-1.249341e-16
3.9000097334518324e-08	-1.8382034e-06	0.050300684	3.2615662e-06	-1.2493412e-16
3.925014396316485e-08	1.4083292e-06	0.050300684	3.6141005e-06	-1.2493406e-16
3.9500012206338265e-08	3.5884639e-06	0.0503007	1.2670864e-06	-1.2493408e-16
3.975000211442153e-08	1.4941661e-06	0.050300684	-1.1303208e-06	-1.249341e-16
4.000011293833958e-08	-1.6499864e-06	0.050300684	-9.1043387e-07	-1.2493412e-16
4.025015700904346e-08	-1.2302229e-06	0.050300695	6.7911367e-07	-1.2493409e-16
4.050011744275647e-08	2.1901087e-06	0.0503007	3.5220927e-07	-1.2493406e-16
4.0750127520028945e-08	3.4363597e-06	0.0503007	-2.3084337e-06	-1.249341e-16
4.100000103735526e-08	5.953449e-07	0.05030071	-4.2023444e-06	-1.2493414e-16
4.1250102083928804e-08	-2.1391459e-06	0.050300695	-3.3148851e-06	-1.2493409e-16
4.150010046189206e-08	-9.063391e-07	0.0503007	-1.6731566e-06	-1.2493408e-16
4.175009064275599e-08	2.456163e-06	0.05030073	-2.3342263e-06	-1.2493406e-16
4.200010969136368e-08	2.6861633e-06	0.050300702	-4.8154593e-06	-1.2493413e-16
4.2250016335323816e-08	-6.5756086e-07	0.050300702	-5.7830052e-06	-1.249341e-16
4.250010733813142e-08	-2.7520543e-06	0.050300714	-4.0274317e-06	-1.2493408e-16
4.275002476725204e-08	-7.292145e-07	0.050300725	-2.2384254e-06	-1.2493406e-16
4.3000054428747814e-08	2.3501839e-06	0.05030072	-3.018921e-06	-1.2493408e-16
4.3250109981465856e-08	1.6254613e-06	0.05030072	-4.997253e-06	-1.249341e-16
4.3500153204864704e-08	-1.9372128e-06	0.050300717	-4.8708916e-06	-1.249341e-16
4.3750009854137665e-08	-3.1615125e-06	0.050300717	-2.3489106e-06	-1.2493404e-16
4.400000546844808e-08	-4.3503474e-07	0.05030072	-5.688992e-07	-1.249341e-16
4.425003455655667e-08	2.1631029e-06	0.050300714	-1.4731017e-06	-1.2493413e-16
4.450012294937661e-08	5.8792375e-07	0.05030071	-2.9026378e-06	-1.2493412e-16
4.4750138764607024e-08	-2.831397e-06	0.05030071	-1.8566847e-06	-1.2493409e-16
4.500009637539401e-08	-3.071045e-06	0.050300714	1.0350617e-06	-1.249341e-16
4.525001861749013e-08	2.1012225e-07	0.050300706	2.4158305e-06	-1.2493414e-16
4.550011910877909e-08	2.1518827e-06	0.0503007	1.1849403e-06	-1.2493412e-16
4.575009859676714e-08	-1.3545325e-07	0.0503007	1.07721846e-07	-1.2493412e-16
4.6000056344998034e-08	-3.117582e-06	0.050300706	1.6778166e-06	-1.2493409e-16
4.6250133209007166e-08	-2.3434511e-06	0.05030071	4.3832174e-06	-1.2493413e-16
4.65001420066748e-08	1.238075e-06	0.05030069	4.933314e-06	-1.2493412e-16
4.6750152654459385e-08	2.3558653e-06	0.050300702	3.1463667e-06	-1.2493409e-16
4.700002309860024e-08	-4.7646282e-07	0.050300717	2.1866235e-06	-1.2493409e-16
4.7250036292226606e-08	-2.8530387e-06	0.050300695	3.862056e-06	-1.2493414e-16
4.7500036000901706e-08	-1.1701667e-06	0.050300695	5.924485e-06	-1.2493413e-16
4.775016174170421e-08	2.3897765e-06	0.050300702	5.377314e-06	-1.2493408e-16
4.800011199404364e-08	2.565124e-06	0.05030069	2.975247e-06	-1.249341e-16
4.8250090992442366e-08	-6.46074e-07	0.0503007	2.0766258e-06	-1.2493414e-16
4.850012838539865e-08	-2.2862428e-06	0.050300695	3.6499716e-06	-1.2493416e-16
4.875003301775891e-08	1.5043251e-07	0.05030068	4.8525767e-06	-1.2493417e-16
4.900003313214353e-08	3.3074205e-06	0.050300702	3.2652508e-06	-1.2493416e-16
4.925010773562317e-08	2.4809844e-06	0.0503007	5.041469e-07	-1.2493417e-16
4.950004241705736e-08	-9.260914e-07	0.050300688	-1.4489348e-07	-1.2493421e-16
4.9750095468080736e-08	-1.7813327e-06	0.05030069	1.3718821e-06	-1.2493418e-16
5.000013184853044e-08	1.186088e-06	0.050300688	1.8463352e-06	-1.2493421e-16
5.0250131095633436e-08	3.6555161e-06	0.05030069	-4.1289763e-07	-1.2493418e-16
