,t,mx,my,mz,E_total
56,5.600022181915256e-09,0.097601235,-1.0151234e-06,2.4235956e-07,-1.8453096000000001e-16
57,5.700060974569874e-09,0.09760133,-9.2418486e-07,-5.2567214e-07,-1.8453096000000001e-16
58,5.8001308419264014e-09,0.097601324,-4.501772e-07,-1.1062327e-06,-1.8453109000000001e-16
59,5.900162505772973e-09,0.09760125,1.6373646e-07,-1.2360026e-06,-1.8453104000000002e-16
60,6.000023606960649e-09,0.09760126,7.3093804e-07,-9.045498e-07,-1.8453101e-16
61,6.100103985702229e-09,0.09760129,1.0135927e-06,-2.2244788e-07,-1.8453118000000002e-16
62,6.200111241074331e-09,0.09760143,9.815323e-07,5.3706856e-07,-1.845313e-16
63,6.300087005147543e-09,0.09760138,5.5516233e-07,1.1226882e-06,-1.8453126e-16
64,6.400018093729475e-09,0.09760137,-3.4392155e-08,1.3182495e-06,-1.8453117000000002e-16
65,6.500016586125533e-09,0.097601384,-6.100404e-07,1.0501718e-06,-1.8453122000000001e-16
66,6.600096306573625e-09,0.0976013,-9.575008e-07,4.2414123e-07,-1.845313e-16
67,6.700027927467903e-09,0.097601205,-9.785836e-07,-3.6618482e-07,-1.8453121000000002e-16
68,6.800099455936892e-09,0.09760123,-6.2789945e-07,-9.972281e-07,-1.8453108000000002e-16
69,6.900011789634795e-09,0.09760129,-7.0476776e-09,-1.2672424e-06,-1.8453113e-16
70,7.000148370731224e-09,0.09760121,6.3609383e-07,-1.0191355e-06,-1.84531e-16
71,7.100006566247868e-09,0.0976013,1.002815e-06,-3.9971687e-07,-1.8453097e-16
72,7.200083856109457e-09,0.09760143,9.803804e-07,3.7637878e-07,-1.8453098e-16
73,7.300095948159848e-09,0.09760147,6.735277e-07,1.0135973e-06,-1.8453104000000002e-16
74,7.400163622516947e-09,0.09760131,1.2502423e-07,1.3158564e-06,-1.8453093000000002e-16
75,7.500093868635183e-09,0.09760129,-4.741467e-07,1.1585628e-06,-1.8453109000000001e-16
76,7.600121526303645e-09,0.09760125,-9.3886206e-07,5.85666e-07,-1.8453109000000001e-16
77,7.700048655505212e-09,0.09760129,-1.0366907e-06,-1.9283077e-07,-1.84531e-16
78,7.80011170893665e-09,0.09760129,-7.159944e-07,-9.153663e-07,-1.8453112e-16
79,7.900164928020033e-09,0.09760131,-1.03657364e-07,-1.2546406e-06,-1.8453118000000002e-16
80,8.000116420605845e-09,0.097601265,5.044426e-07,-1.12549e-06,-1.845311e-16
81,8.100084066968834e-09,0.09760124,9.382148e-07,-5.585542e-07,-1.8453121000000002e-16
82,8.20012067009152e-09,0.097601265,1.0445334e-06,1.8748264e-07,-1.8453109000000001e-16
83,8.300082366233643e-09,0.09760139,7.8479167e-07,8.8840426e-07,-1.8453113e-16
84,8.400033546723436e-09,0.09760139,2.6041283e-07,1.2736897e-06,-1.845312e-16
85,8.500166003362435e-09,0.0976013,-3.5390914e-07,1.228734e-06,-1.8453108000000002e-16
86,8.600166684560048e-09,0.09760131,-8.320999e-07,7.3637136e-07,-1.845311e-16
87,8.700135484101751e-09,0.09760139,-1.0367613e-06,-2.6135663e-08,-1.8453113e-16
88,8.800099495198605e-09,0.09760133,-8.053941e-07,-7.6708426e-07,-1.8453102000000003e-16
89,8.900162527035205e-09,0.09760122,-2.8050144e-07,-1.2165622e-06,-1.8453098e-16
90,9.000148297575757e-09,0.0976012,3.8289286e-07,-1.1856729e-06,-1.8453102000000003e-16
91,9.100115978163348e-09,0.09760118,8.652735e-07,-7.2813805e-07,-1.8453109000000001e-16
92,9.200152221190051e-09,0.09760133,1.037233e-06,2.3100398e-08,-1.8453081000000001e-16
93,9.30005599641061e-09,0.09760131,8.5304896e-07,7.3730394e-07,-1.8453088000000003e-16
94,9.40006278260096e-09,0.09760137,4.0922546e-07,1.2331636e-06,-1.8453095000000001e-16
95,9.50016580955302e-09,0.09760136,-1.9307238e-07,1.2869365e-06,-1.8453105000000002e-16
96,9.600162478311187e-09,0.097601324,-7.833199e-07,8.9845685e-07,-1.8453083e-16
97,9.700086595577473e-09,0.09760125,-1.0394315e-06,1.642288e-07,-1.8453124e-16
98,9.800052805674995e-09,0.09760128,-9.262455e-07,-6.1734625e-07,-1.84531e-16
99,9.900029813633964e-09,0.097601354,-4.040636e-07,-1.1576826e-06,-1.8453106000000002e-16
100,1.0000057726609416e-08,0.09760119,2.2719381e-07,-1.2397038e-06,-1.84531e-16
101,1.0100039159887253e-08,0.09760117,7.6858123e-07,-8.4735285e-07,-1.8453101e-16
102,1.0200151471142733e-08,0.09760118,1.0134593e-06,-1.6633336e-07,-1.845311e-16
103,1.0300080210568065e-08,0.09760138,9.4850725e-07,5.9839806e-07,-1.8453108000000002e-16
104,1.040014263622244e-08,0.09760136,5.239803e-07,1.1506372e-06,-1.8453109000000001e-16
105,1.0500109761336036e-08,0.09760127,-8.375331e-08,1.3307357e-06,-1.8453112e-16
106,1.0600030062006711e-08,0.09760135,-6.524589e-07,1.0131035e-06,-1.8453109000000001e-16
107,1.0700005084580212e-08,0.09760143,-1.0198025e-06,3.542334e-07,-1.8453108000000002e-16
108,1.0800068938080998e-08,0.09760134,-9.554715e-07,-4.587729e-07,-1.8453089000000002e-16
109,1.0900093636666242e-08,0.0976012,-5.3864756e-07,-1.0521824e-06,-1.845309e-16
110,1.100005595680666e-08,0.09760126,9.335832e-08,-1.2486978e-06,-1.8453097e-16
111,1.1100141259473588e-08,0.097601205,6.642797e-07,-9.702995e-07,-1.8453075000000003e-16
