# t (s)	mx ()	my ()	mz ()	E_total (J)
1.500007293327901e-08	-8.629639e-06	0.049576893	-1.3318657e-06	-1.426088e-16
1.525003781589155e-08	-9.373441e-06	0.049576882	2.6157497e-06	-1.4260878e-16
1.5500235880369688e-08	-1.00271045e-05	0.04957689	6.899834e-06	-1.4260878e-16
1.575006973390962e-08	-1.0352612e-05	0.04957688	1.1498034e-05	-1.426087e-16
1.6000246359573695e-08	-1.0119723e-05	0.049576864	1.6039909e-05	-1.4260872e-16
1.625016033032437e-08	-9.3024955e-06	0.04957686	2.0302235e-05	-1.4260874e-16
1.6500249454037746e-08	-7.787949e-06	0.049576882	2.4156869e-05	-1.4260874e-16
1.6750279954475927e-08	-5.7048305e-06	0.049576893	2.7192831e-05	-1.4260872e-16
1.7000153007869915e-08	-3.369396e-06	0.04957689	2.9149502e-05	-1.4260869e-16
1.725020559693021e-08	-9.464868e-07	0.04957691	3.012836e-05	-1.4260869e-16
1.750000212747546e-08	1.4055107e-06	0.049576916	3.0061603e-05	-1.4260864e-16
1.7750317787798162e-08	3.402749e-06	0.0495769	2.8937757e-05	-1.4260862e-16
1.8000243944223943e-08	4.880894e-06	0.04957689	2.7095377e-05	-1.4260864e-16
1.8250225447372588e-08	5.947202e-06	0.049576882	2.4747551e-05	-1.4260861e-16
1.850000760032816e-08	6.58116e-06	0.04957688	2.1933913e-05	-1.4260858e-16
1.875029264472998e-08	6.921153e-06	0.049576875	1.8897503e-05	-1.4260853e-16
1.9000098466042646e-08	7.1915924e-06	0.049576897	1.5836358e-05	-1.4260854e-16
1.9250210398699174e-08	7.529907e-06	0.049576882	1.2584329e-05	-1.4260856e-16
1.9500214001588655e-08	8.001855e-06	0.049576882	9.100139e-06	-1.4260852e-16
1.975022517225936e-08	8.656714e-06	0.0495769	5.4639577e-06	-1.4260848e-16
2.0000016363028612e-08	9.4776115e-06	0.04957691	1.476258e-06	-1.4260849e-16
2.0250038901146377e-08	1.0245146e-05	0.04957688	-2.9437244e-06	-1.4260853e-16
2.050021616215646e-08	1.07387605e-05	0.049576882	-7.5796247e-06	-1.4260845e-16
2.075010720282263e-08	1.0790324e-05	0.049576893	-1.2312383e-05	-1.4260849e-16
2.1000275733603937e-08	1.0309087e-05	0.049576867	-1.706019e-05	-1.426084e-16
2.125014838212183e-08	9.1811135e-06	0.049576867	-2.1407306e-05	-1.4260843e-16
2.1500192112679568e-08	7.457572e-06	0.04957688	-2.5039017e-05	-1.4260844e-16
2.175029200181556e-08	5.3457125e-06	0.049576893	-2.7895272e-05	-1.4260841e-16
2.200005142670765e-08	3.0007975e-06	0.049576893	-2.9796063e-05	-1.4260845e-16
2.225006946641756e-08	6.7192593e-07	0.049576912	-3.0547082e-05	-1.4260844e-16
2.250008843377261e-08	-1.3924823e-06	0.049576916	-3.0356943e-05	-1.4260843e-16
2.275005235739575e-08	-3.1517056e-06	0.049576893	-2.9395818e-05	-1.4260841e-16
2.3000092455474246e-08	-4.5473525e-06	0.049576882	-2.7653576e-05	-1.4260837e-16
2.3250318067503803e-08	-5.5221644e-06	0.049576893	-2.5363863e-05	-1.426084e-16
2.3500123441162716e-08	-6.201456e-06	0.049576882	-2.2821874e-05	-1.4260839e-16
2.375006007449987e-08	-6.744823e-06	0.049576875	-1.9950568e-05	-1.4260837e-16
2.400016943798121e-08	-7.2623725e-06	0.049576882	-1.6778708e-05	-1.4260835e-16
2.425018560149408e-08	-7.892355e-06	0.04957689	-1.3457238e-05	-1.4260836e-16
2.450029202914732e-08	-8.654822e-06	0.04957689	-9.833872e-06	-1.4260839e-16
2.4750230821204756e-08	-9.456658e-06	0.04957689	-5.759746e-06	-1.4260833e-16
2.500030978420047e-08	-1.0272363e-05	0.049576893	-1.3843179e-06	-1.4260833e-16
2.5250062817409248e-08	-1.09569755e-05	0.049576875	3.271103e-06	-1.426084e-16
2.550013727467205e-08	-1.1255967e-05	0.04957688	8.2519655e-06	-1.4260832e-16
2.5750263840649035e-08	-1.1013734e-05	0.049576893	1.32411715e-05	-1.4260833e-16
2.6000229797727935e-08	-1.0253308e-05	0.049576875	1.7909706e-05	-1.426083e-16
2.6250062347159057e-08	-8.910362e-06	0.049576864	2.2170543e-05	-1.4260828e-16
2.6500232672830725e-08	-7.086022e-06	0.04957688	2.5789737e-05	-1.4260827e-16
2.6750163887846122e-08	-4.9788528e-06	0.049576912	2.842903e-05	-1.4260825e-16
2.7000136114808193e-08	-2.7855183e-06	0.049576893	3.0113459e-05	-1.4260827e-16
2.7250253800181147e-08	-6.5739937e-07	0.04957691	3.0935556e-05	-1.4260823e-16
2.7500135009131903e-08	1.2415252e-06	0.049576912	3.0800104e-05	-1.4260824e-16
2.775012589624648e-08	2.7804501e-06	0.049576897	2.9845536e-05	-1.4260823e-16
2.8000217601859964e-08	4.090635e-06	0.0495769	2.8357805e-05	-1.4260816e-16
2.8250289289989456e-08	5.1584957e-06	0.04957689	2.633214e-05	-1.4260821e-16
2.8500140773594296e-08	6.037367e-06	0.049576882	2.379313e-05	-1.426082e-16
2.8750102124598413e-08	6.785267e-06	0.049576867	2.0979644e-05	-1.4260813e-16
2.900025564817906e-08	7.622079e-06	0.049576897	1.7848313e-05	-1.4260815e-16
2.9250073361726288e-08	8.538607e-06	0.049576882	1.4213771e-05	-1.4260816e-16
2.9500023895426696e-08	9.417982e-06	0.04957688	1.0221898e-05	-1.4260811e-16
2.9750068170384992e-08	1.03262255e-05	0.0495769	5.9348345e-06	-1.4260808e-16
3.000020386053877e-08	1.1102958e-05	0.04957689	1.1509657e-06	-1.426081e-16
3.0250146136873586e-08	1.1543469e-05	0.049576875	-3.9222837e-06	-1.4260811e-16
3.050017444064755e-08	1.1543373e-05	0.049576867	-8.984953e-06	-1.4260808e-16
3.0750024926010824e-08	1.11387435e-05	0.0495769	-1.4009774e-05	-1.4260808e-16
3.10002219692599e-08	1.0107169e-05	0.049576875	-1.8797218e-05	-1.4260807e-16
3.125023177444171e-08	8.609069e-06	0.049576864	-2.290815e-05	-1.4260806e-16
3.15000894815762e-08	6.8221148e-06	0.04957689	-2.6280284e-05	-1.4260806e-16
3.175022729863268e-08	4.814173e-06	0.04957691	-2.8933882e-05	-1.4260803e-16
3.20002286840122e-08	2.7637534e-06	0.049576893	-3.0598938e-05	-1.4260804e-16
3.225022009109394e-08	8.579341e-07	0.0495769	-3.1319858e-05	-1.4260804e-16
3.250020704982864e-08	-8.1093515e-07	0.049576923	-3.136307e-05	-1.4260804e-16
3.275014055019009e-08	-2.3557006e-06	0.0495769	-3.0693114e-05	-1.4260803e-16
3.300012545836574e-08	-3.651189e-06	0.04957689	-2.928704e-05	-1.4260803e-16
3.325007971480801e-08	-4.850951e-06	0.0495769	-2.7399063e-05	-1.4260807e-16
3.350026308715452e-08	-5.9379504e-06	0.049576882	-2.50718e-05	-1.4260807e-16
3.3750189083779114e-08	-7.0480064e-06	0.04957688	-2.2142529e-05	-1.4260798e-16
3.400021732845905e-08	-8.154977e-06	0.04957689	-1.8746852e-05	-1.42608e-16
3.425016083854448e-08	-9.226211e-06	0.049576882	-1.49586795e-05	-1.4260804e-16
3.4500107808192776e-08	-1.0277619e-05	0.049576893	-1.0620058e-05	-1.42608e-16
3.4750034809716104e-08	-1.11105965e-05	0.049576882	-5.812943e-06	-1.4260799e-16
3.5000003302814484e-08	-1.17110185e-05	0.049576893	-7.987022e-07	-1.4260799e-16
3.525019185984462e-08	-1.1923551e-05	0.04957686	4.4295193e-06	-1.4260803e-16
3.550016642846478e-08	-1.17198915e-05	0.049576875	9.762943e-06	-1.4260802e-16
3.575028993874092e-08	-1.0962324e-05	0.0495769	1.4783889e-05	-1.42608e-16
3.600000267695249e-08	-9.8307155e-06	0.049576856	1.9335152e-05	-1.4260798e-16
3.625012340891525e-08	-8.33762e-06	0.049576864	2.34285e-05	-1.4260799e-16
3.6500069900581445e-08	-6.5921095e-06	0.049576893	2.6783646e-05	-1.42608e-16
3.675003466657342e-08	-4.783861e-06	0.04957691	2.9225648e-05	-1.4260796e-16
3.700024168592193e-08	-2.9571058e-06	0.049576875	3.0958654e-05	-1.4260796e-16
3.725010131055752e-08	-1.2397825e-06	0.049576912	3.1944364e-05	-1.4260799e-16
3.750020566746628e-08	3.8031953e-07	0.049576927	3.207445e-05	-1.4260798e-16
3.77502478121027e-08	1.8309418e-06	0.049576882	3.1567513e-05	-1.4260798e-16
3.800005771331323e-08	3.3298495e-06	0.049576893	3.0506253e-05	-1.4260796e-16
3.825026770052823e-08	4.7461217e-06	0.049576893	2.8687566e-05	-1.4260795e-16
3.850026304400662e-08	6.144128e-06	0.049576893	2.6226491e-05	-1.4260798e-16
3.875019574946348e-08	7.5242992e-06	0.049576867	2.3277104e-05	-1.4260796e-16
3.9000137414651605e-08	8.875616e-06	0.04957689	1.9651652e-05	-1.4260796e-16
3.925012293149715e-08	1.0108874e-05	0.049576893	1.536876e-05	-1.4260796e-16
3.950022816912209e-08	1.1090662e-05	0.049576875	1.0704398e-05	-1.4260794e-16
3.9750258472659596e-08	1.188026e-05	0.049576893	5.661547e-06	-1.4260794e-16
4.000019130011794e-08	1.2201271e-05	0.049576875	2.4735928e-07	-1.4260794e-16
4.0250301503800645e-08	1.214632e-05	0.049576875	-5.1629545e-06	-1.4260792e-16
4.0500243961209845e-08	1.1665197e-05	0.04957688	-1.0375678e-05	-1.4260794e-16
4.075005164112999e-08	1.0823526e-05	0.049576882	-1.5411228e-05	-1.4260791e-16
4.100005343934204e-08	9.573463e-06	0.049576864	-1.996696e-05	-1.4260792e-16
4.125010165066817e-08	8.141778e-06	0.049576864	-2.3827852e-05	-1.4260791e-16
4.1500204336583484e-08	6.633824e-06	0.04957691	-2.7107e-05	-1.4260792e-16
4.175009427516559e-08	4.985259e-06	0.049576893	-2.9751063e-05	-1.4260791e-16
4.200018963927456e-08	3.3814213e-06	0.049576882	-3.1531752e-05	-1.4260786e-16
4.225001759408344e-08	1.796769e-06	0.049576916	-3.2634736e-05	-1.4260791e-16
4.250006007331796e-08	2.3654488e-07	0.049576923	-3.3162534e-05	-1.426079e-16
4.275008388456776e-08	-1.4373762e-06	0.04957689	-3.2883883e-05	-1.426079e-16
4.3000006891854235e-08	-3.0556728e-06	0.04957689	-3.1828582e-05	-1.4260787e-16
4.325001822382439e-08	-4.7819312e-06	0.049576912	-3.0133426e-05	-1.4260788e-16
4.3500206268291696e-08	-6.5457175e-06	0.04957688	-2.7654021e-05	-1.426079e-16
4.375002059346149e-08	-8.217836e-06	0.049576875	-2.4310202e-05	-1.4260784e-16
4.400027395529043e-08	-9.720918e-06	0.049576897	-2.0358711e-05	-1.4260788e-16
4.4250047294910853e-08	-1.0963029e-05	0.049576882	-1.5825928e-05	-1.4260786e-16
4.4500050099942586e-08	-1.1927343e-05	0.04957688	-1.0674149e-05	-1.4260786e-16
4.4750158548710886e-08	-1.2385817e-05	0.04957689	-5.2523615e-06	-1.4260782e-16
4.500027321013787e-08	-1.2506512e-05	0.049576882	2.002716e-07	-1.4260783e-16
4.5250209482429225e-08	-1.2182943e-05	0.049576867	5.709231e-06	-1.4260784e-16
4.550014975420312e-08	-1.1525135e-05	0.049576882	1.1040271e-05	-1.426078e-16
4.575008767075261e-08	-1.0546804e-05	0.04957689	1.5856474e-05	-1.4260782e-16
4.6000170919553535e-08	-9.4249945e-06	0.049576864	2.0269454e-05	-1.426078e-16
4.625000641698676e-08	-8.183935e-06	0.049576893	2.4249255e-05	-1.4260778e-16
4.6500241219696286e-08	-6.782379e-06	0.049576882	2.7536005e-05	-1.4260775e-16
4.675003011591437e-08	-5.4118173e-06	0.049576893	3.0185132e-05	-1.4260776e-16
4.700009305453186e-08	-3.959033e-06	0.049576893	3.2338052e-05	-1.4260774e-16
4.725014579518059e-08	-2.4375304e-06	0.049576923	3.3768712e-05	-1.4260778e-16
4.750012236241927e-08	-7.3761186e-07	0.049576923	3.439352e-05	-1.4260774e-16
4.7750141986222466e-08	1.0641752e-06	0.049576893	3.4381002e-05	-1.4260771e-16
